주차,발행일,요일,시각,형식,번호,기둥,제목안,썸네일문구,목표길이(분),목표검색어,원본,상태
W1,2026-09-12,토,20:00,롱폼,L01,P1,매달 하던 정산표 정리를 자동화했습니다 — 전 과정,주5시간 절감,16,엑셀 정산 자동화,,미착수
W1,2026-09-12,토,20:00,롱폼,L02,P2,"AI 자동화 도구 3종, 같은 작업 시켜봤습니다",3종 실측,13,AI 업무 자동화 도구 비교,,미착수
W1,2026-09-12,토,20:00,롱폼,L03,P3,그대로 복사해 쓰는 업무 자동화 설정 5개,복붙 5개,10,업무 자동화 템플릿,,미착수
W1,2026-09-14,월,12:30,숏폼,S01,파생,결과 컷 — L01 발췌,-,0.7,-,L01,미착수
W1,2026-09-15,화,12:30,숏폼,S02,파생,실패 컷 — L02 발췌,-,0.7,-,L02,미착수
W1,2026-09-15,화,20:00,롱폼,L04,P1,고객 문의 1차 응대를 AI에 넘긴 전 과정 (실패 포함),응대 자동화,17,고객 문의 자동응답 만들기,,미착수
W1,2026-09-16,수,12:30,숏폼,S03,파생,판정 컷 — L03 발췌,-,0.7,-,L03,미착수
W1,2026-09-17,목,12:30,숏폼,S04,파생,팁 컷 — L01 발췌,-,0.7,-,L01,미착수
W1,2026-09-17,목,20:00,롱폼,L05,P2,업무 자동화 30일 써보고 끈 기능 3가지,결국 껐다,12,업무 자동화 후기,,미착수
W1,2026-09-18,금,12:30,숏폼,S05,파생,수치 컷 — L02 발췌,-,0.7,-,L02,미착수
W2,2026-09-19,토,20:00,롱폼,L06,P3,"1인 사업자 첫 자동화, 이 순서로 하세요",이 순서로,11,1인 사업자 업무 자동화,,미착수
W2,2026-09-21,월,12:30,숏폼,S06,파생,결과 컷 — L04 발췌,-,0.7,-,L04,미착수
W2,2026-09-22,화,12:30,숏폼,S07,파생,실패 컷 — L05 발췌,-,0.7,-,L05,미착수
W2,2026-09-22,화,20:00,롱폼,L07,P1,영수증 사진에서 회계 정리까지 자동화 구축기,영수증 자동,18,영수증 정리 자동화,,미착수
W2,2026-09-23,수,12:30,숏폼,S08,파생,판정 컷 — L06 발췌,-,0.7,-,L06,미착수
W2,2026-09-24,목,12:30,숏폼,S09,파생,팁 컷 — L04 발췌,-,0.7,-,L04,미착수
W2,2026-09-24,목,20:00,롱폼,L08,P2,유료 결제할 가치 있나 — 30일 실사용 결론,유료? 무료?,13,AI 도구 유료 후기,,미착수
W2,2026-09-25,금,12:30,숏폼,S10,파생,수치 컷 — L05 발췌,-,0.7,-,L05,미착수
W3,2026-09-26,토,20:00,롱폼,L09,P4,"새로 나온 기능, 실무에서 써봤습니다",실무 판정,8,AI 신기능 후기,,미착수
W3,2026-09-28,월,12:30,숏폼,S11,파생,결과 컷 — L07 발췌,-,0.7,-,L07,미착수
W3,2026-09-29,화,12:30,숏폼,S12,파생,실패 컷 — L08 발췌,-,0.7,-,L08,미착수
W3,2026-09-29,화,20:00,롱폼,L10,P1,블로그 글 초안 파이프라인 만들기,초안 자동화,16,블로그 자동 작성,,미착수
W3,2026-09-30,수,12:30,숏폼,S13,파생,판정 컷 — L09 발췌,-,0.7,-,L09,미착수
W3,2026-10-01,목,12:30,숏폼,S14,파생,팁 컷 — L07 발췌,-,0.7,-,L07,미착수
W3,2026-10-01,목,20:00,롱폼,L11,P2,자동화했다가 오히려 일이 늘어난 3가지,일이 늘었다,12,업무 자동화 실패,,미착수
W3,2026-10-02,금,12:30,숏폼,S15,파생,수치 컷 — L08 발췌,-,0.7,-,L08,미착수
W4,2026-10-03,토,20:00,롱폼,L12,P3,견적서 자동 작성 설정 전체 공개,견적 자동,10,견적서 자동화,,미착수
W4,2026-10-05,월,12:30,숏폼,S16,파생,결과 컷 — L10 발췌,-,0.7,-,L10,미착수
