주차,발행일,요일,시각,형식,번호,기둥,층,제목,썸네일문구,목표길이(분),목표검색어,원본,대본,상태
W1,2026-09-12,토,20:00,롱폼,L01,P1,층1,코딩 하나도 모르는데 정산 도구를 직접 만들었습니다,코딩 0,17,클로드 코드 / 바이브코딩,,scripts/S01-P1-full-script.md,미착수
W1,2026-09-12,토,20:00,롱폼,L02,P2,층1,커서 vs 클로드 코드 — 코딩 못 하는 사람 기준 실측,커서 vs 클로드,13,커서 AI 클로드 코드 비교,,scripts/S02-P2-full-script.md,미착수
W1,2026-09-12,토,20:00,롱폼,L10,P3,층3,엑셀 반복 작업 없애는 설정 5개 (복붙용),복붙 5개,10,엑셀 자동화,,scripts/S10-P3-full-script.md,미착수
W1,2026-09-14,월,12:30,숏폼,S01,파생,-,결과 컷 — L02 발췌,-,0.7,-,L02,docs/17-production-manual.md §7,미착수
W1,2026-09-15,화,12:30,숏폼,S02,파생,-,실패 컷 — L02 발췌,-,0.7,-,L02,docs/17-production-manual.md §7,미착수
W1,2026-09-15,화,20:00,롱폼,L03,P2,층1,바이브코딩 3주 하고 알게 된 것 (기대와 달랐던 5가지),3주 해봄,14,바이브코딩 후기,,scripts/beat-sheets-9.md,미착수
W1,2026-09-16,수,12:30,숏폼,S03,파생,-,판정 컷 — L03 발췌,-,0.7,-,L03,docs/17-production-manual.md §7,미착수
W1,2026-09-17,목,12:30,숏폼,S04,파생,-,팁 컷 — L03 발췌,-,0.7,-,L03,docs/17-production-manual.md §7,미착수
W1,2026-09-17,목,20:00,롱폼,L06,P1,층2,구글 시트가 매일 보고서를 대신 쓰게 만들었습니다,시트가 대신,16,구글 시트 자동화,,scripts/beat-sheets-9.md,미착수
W1,2026-09-18,금,12:30,숏폼,S05,파생,-,수치 컷 — L10 발췌,-,0.7,-,L10,docs/17-production-manual.md §7,미착수
W2,2026-09-19,토,20:00,롱폼,L11,P2,층3,매크로 vs AI — 스톱워치로 실측했습니다,수동 vs AI,13,엑셀 매크로 AI 비교,,scripts/beat-sheets-9.md,미착수
W2,2026-09-21,월,12:30,숏폼,S06,파생,-,결과 컷 — L11 발췌,-,0.7,-,L11,docs/17-production-manual.md §7,미착수
W2,2026-09-22,화,12:30,숏폼,S07,파생,-,실패 컷 — L11 발췌,-,0.7,-,L11,docs/17-production-manual.md §7,미착수
W2,2026-09-22,화,20:00,롱폼,L04,P1,층1,"견적서 만드는 도구, 하루 만에 만들기",하루면 됨,16,견적서 자동화,,scripts/beat-sheets-9.md,미착수
W2,2026-09-23,수,12:30,숏폼,S08,파생,-,판정 컷 — L06 발췌,-,0.7,-,L06,docs/17-production-manual.md §7,미착수
W2,2026-09-24,목,12:30,숏폼,S09,파생,-,팁 컷 — L07 발췌,-,0.7,-,L07,docs/17-production-manual.md §7,미착수
W2,2026-09-24,목,20:00,롱폼,L07,P3,층2,앱스크립트 한 줄도 못 짜는데 시트 자동화한 방법,한 줄도 못 짬,11,앱스크립트 초보,,scripts/beat-sheets-9.md,미착수
W2,2026-09-25,금,12:30,숏폼,S10,파생,-,수치 컷 — L04 발췌,-,0.7,-,L04,docs/17-production-manual.md §7,미착수
W3,2026-09-26,토,20:00,롱폼,L12,P1,층3,영수증 사진 → 정산표 자동 완성,사진 한 장,17,영수증 정리 자동화,,scripts/beat-sheets-9.md,미착수
W3,2026-09-28,월,12:30,숏폼,S11,파생,-,결과 컷 — L04 발췌,-,0.7,-,L04,docs/17-production-manual.md §7,미착수
W3,2026-09-29,화,12:30,숏폼,S12,파생,-,실패 컷 — L05 발췌,-,0.7,-,L05,docs/17-production-manual.md §7,미착수
W3,2026-09-29,화,20:00,롱폼,L05,P2,층1,AI한테 프로그램 만들라 시킬 때 실패하는 5가지,왜 안 되나,12,바이브코딩 안 될 때,,scripts/beat-sheets-9.md,미착수
W3,2026-09-30,수,12:30,숏폼,S13,파생,-,판정 컷 — L12 발췌,-,0.7,-,L12,docs/17-production-manual.md §7,미착수
W3,2026-10-01,목,12:30,숏폼,S14,파생,-,팁 컷 — L12 발췌,-,0.7,-,L12,docs/17-production-manual.md §7,미착수
W3,2026-10-01,목,20:00,롱폼,L08,P1,층2,문의 들어오면 시트가 알아서 정리하게 만들기,알아서 정리,15,구글 시트 자동 정리,,scripts/beat-sheets-9.md,미착수
W3,2026-10-02,금,12:30,숏폼,S15,파생,-,수치 컷 — L08 발췌,-,0.7,-,L08,docs/17-production-manual.md §7,미착수
W4,2026-10-03,토,20:00,롱폼,L09,P2,층2,구글 시트 자동화 3개월 후기 — 뭐가 깨졌나,3개월 후,12,구글 시트 자동화 후기,,scripts/beat-sheets-9.md,미착수
W4,2026-10-05,월,12:30,숏폼,S16,파생,-,결과 컷 — L08 발췌,-,0.7,-,L08,docs/17-production-manual.md §7,미착수
W4,2026-10-06,화,12:30,숏폼,S17,파생,-,실패 컷 — L05 발췌,-,0.7,-,L05,docs/17-production-manual.md §7,미착수
W4,2026-10-07,수,12:30,숏폼,S18,파생,-,판정 컷 — L09 발췌,-,0.7,-,L09,docs/17-production-manual.md §7,미착수
W4,2026-10-08,목,12:30,숏폼,S19,파생,-,팁 컷 — L08 발췌,-,0.7,-,L08,docs/17-production-manual.md §7,미착수
W4,2026-10-09,금,12:30,숏폼,S20,파생,-,수치 컷 — L05 발췌,-,0.7,-,L05,docs/17-production-manual.md §7,미착수
